k1,k2,band,energy_meV
0.0,0.0,1,-93.58041256800291
0.0,0.0,2,-86.45008130008736
0.0,0.0,3,-81.54963072272966
0.0,0.0,4,-77.40084250205254
0.0,0.0,5,-74.86534694160392
0.0,0.0,6,-72.42962049984303
0.0,0.0,7,-69.0091759015018
0.0,0.0,8,-66.43553389064576
0.0,0.0,9,-64.79590810102604
0.0,0.0,10,-62.27572680565123
0.0,0.0,11,-59.99557412240671
0.0,0.0,12,-57.95114897999176
0.0,0.0,13,-55.2576405705631
0.0,0.0,14,-54.210979030598
0.0,0.0,15,-51.96091556154806
0.0,0.0,16,-50.313273949925986
0.0,0.0,17,-48.54907646881398
0.0,0.0,18,-47.638809109299814
0.0,0.0,19,-45.48351272796191
0.0,0.0,20,-44.437158848037285
0.0,0.0,21,-43.25497361632236
0.0,0.0,22,-41.64566086805294
0.0,0.0,23,-40.70082269752908
0.0,0.0,24,-39.92368291919871
0.0,0.0,25,-38.68458093512976
0.0,0.0,26,-37.87463477158707
0.0,0.0,27,-37.401061840855675
0.0,0.0,28,-36.64518653698329
0.0,0.0,29,-36.29096835759333
0.0,0.0,30,-35.98496657458952
0.0,0.0,31,-34.19691818392785
0.0,0.0,32,-34.099841004820945
0.0,0.0,33,-31.625427809623716
0.0,0.0,34,-30.871692824360778
0.0,0.0,35,-28.86615754019077
0.0,0.0,36,-26.233816303278957
0.0,0.0,37,-25.56183068230017
0.0,0.0,38,-21.19557138164099
0.0,0.0,39,-21.063058663126725
0.0,0.0,40,-14.967428205641795
0.0,0.0,41,-7.79979726545109
0.0,0.0,42,-7.532287636148567
0.0,0.0,43,-5.9260825456292565
0.0,0.0,44,-4.69490653709471
0.0,0.0,45,-4.430079054793836
0.0,0.0,46,-3.5100726570672975
0.0,0.0,47,-2.949789079043981
0.0,0.0,48,-2.141079412718298
0.0,0.0,49,-1.294049455521943
0.0,0.0,50,-0.2848006698568213
0.0,0.0,51,0.7987779680408664
0.0,0.0,52,2.0466366606482325
0.0,0.0,53,3.3417660469067982
0.0,0.0,54,4.748729297896574
0.0,0.0,55,6.27779168041603
0.0,0.0,56,7.911843897893391
0.0,0.0,57,9.621744519924476
0.0,0.0,58,11.403377696839158
0.0,0.0,59,13.273705645835037
0.0,0.0,60,15.168721781251023
0.0,0.0,61,16.94357680697541
0.0,0.0,62,16.975860812728964
0.0,0.0,63,17.047321443141886
0.0,0.0,64,18.44405590438994
0.0,0.0,65,18.729179366826305
0.0,0.0,66,18.79233373528813
0.0,0.0,67,19.46473602608026
0.0,0.0,68,19.702664684226676
0.0,0.0,69,20.060657681079803
0.0,0.0,70,20.495479442675332
0.0,0.0,71,20.774913110336783
0.0,0.0,72,21.095505886821655
0.0,0.0,73,21.306217293586485
0.0,0.0,74,21.730622760033935
0.0,0.0,75,21.804305426398734
0.0,0.0,76,22.28764056977937
0.0,0.0,77,22.89323270946484
0.0,0.0,78,22.926132869839762
0.0,0.0,79,25.33176172266944
0.0,0.0,80,31.462622816942286
0.0,0.0,81,33.07165059676757
0.0,0.0,82,35.86946017038891
0.0,0.0,83,36.37874422492304
0.0,0.0,84,37.97593035826178
0.0,0.0,85,39.853320257433474
0.0,0.0,86,40.43337686472506
0.0,0.0,87,42.14095391775992
0.0,0.0,88,42.45634739726313
0.0,0.0,89,43.80135373783671
0.0,0.0,90,44.9616852011886
0.0,0.0,91,45.63108606225372
0.0,0.0,92,46.769468233570116
0.0,0.0,93,47.31328585750837
0.0,0.0,94,48.2797688538886
0.0,0.0,95,49.27914408583133
0.0,0.0,96,50.4219124085336
0.0,0.0,97,51.19477613084517
0.0,0.0,98,51.594469426526544
0.0,0.0,99,52.40438281973287
0.0,0.0,100,53.25202614985768
0.0,0.0,101,53.814936758041846
0.0,0.0,102,54.50744139625142
0.0,0.0,103,56.77974964178236
0.0,0.0,104,59.07753408113915
0.0,0.0,105,61.5376811816735
0.0,0.0,106,64.1638060715158
0.0,0.0,107,65.55541596199798
0.0,0.0,108,67.16066515156771
0.0,0.0,109,69.07496390317559
0.0,0.0,110,70.96440162027135
0.0,0.0,111,72.40488914805134
0.0,0.0,112,74.62053595947046
0.0,0.0,113,76.96218352869542
0.0,0.0,114,79.55525683216638
0.0,0.0,115,82.64363341108317
0.0,0.0,116,86.08088065275804
0.0,0.0,117,90.88643135070211
0.0,0.0,118,95.85361548389874
0.025,0.0,1,-93.57914195332972
0.025,0.0,2,-86.46211163921919
0.025,0.0,3,-81.51793665786886
0.025,0.0,4,-77.43088250932732
0.025,0.0,5,-74.87479164044626
0.025,0.0,6,-72.42298833905141
0.025,0.0,7,-68.93359036217515
0.025,0.0,8,-66.53767682027231
0.025,0.0,9,-64.80839715876806
0.025,0.0,10,-62.17136852917352
0.025,0.0,11,-60.05319930741294
0.025,0.0,12,-57.95400561879018
0.025,0.0,13,-55.283167466582825
0.025,0.0,14,-54.14506279213393
0.025,0.0,15,-52.029813686169035
0.025,0.0,16,-50.26680196783042
0.025,0.0,17,-48.5492591774497
0.025,0.0,18,-47.65959108431497
0.025,0.0,19,-45.43100481841782
0.025,0.0,20,-44.4866215246563
0.025,0.0,21,-43.274171562675804
0.025,0.0,22,-41.58353755934263
0.025,0.0,23,-40.740518748949285
0.025,0.0,24,-39.94903681511235
0.025,0.0,25,-38.63925812805695
0.025,0.0,26,-37.86575073446161
0.025,0.0,27,-37.3973191009033
0.025,0.0,28,-36.68371872179432
0.025,0.0,29,-36.305566142487635
0.025,0.0,30,-35.961209490883675
0.025,0.0,31,-34.19336585344331
0.025,0.0,32,-34.10833826135081
0.025,0.0,33,-31.616329907837937
0.025,0.0,34,-30.872436385446946
0.025,0.0,35,-28.87079764873036
0.025,0.0,36,-26.233263725873556
0.025,0.0,37,-25.560642685869382
0.025,0.0,38,-21.19557480034743
0.025,0.0,39,-21.063473192093554
0.025,0.0,40,-14.967355668456406
0.025,0.0,41,-7.799716397947051
0.025,0.0,42,-7.532343988748252
0.025,0.0,43,-5.926306206343639
0.025,0.0,44,-4.690596637365601
0.025,0.0,45,-4.438319364764851
0.025,0.0,46,-3.488133534509359
0.025,0.0,47,-2.9822293117453285
0.025,0.0,48,-2.115714901825797
0.025,0.0,49,-1.310230837998418
0.025,0.0,50,-0.2745997110975509
0.025,0.0,51,0.7898150189378583
0.025,0.0,52,2.0544391956524066
0.025,0.0,53,3.335546043538585
0.025,0.0,54,4.753007285984339
0.025,0.0,55,6.275359409774623
0.025,0.0,56,7.912864735818388
0.025,0.0,57,9.621472259292133
0.025,0.0,58,11.403401155268938
0.025,0.0,59,13.273734976567056
0.025,0.0,60,15.168699742644677
0.025,0.0,61,16.944011701678743
0.025,0.0,62,16.9771462570236
0.025,0.0,63,17.045293129639862
0.025,0.0,64,18.44714301516916
0.025,0.0,65,18.729346629578156
0.025,0.0,66,18.788316562447026
0.025,0.0,67,19.46179103565909
0.025,0.0,68,19.70966011999215
0.025,0.0,69,20.061457447930295
0.025,0.0,70,20.475305972779864
0.025,0.0,71,20.816418691789266
0.025,0.0,72,21.053123024131594
0.025,0.0,73,21.323030459564322
0.025,0.0,74,21.755838728656276
0.025,0.0,75,21.778788328946682
0.025,0.0,76,22.288261774843477
0.025,0.0,77,22.895074962698622
0.025,0.0,78,22.924421063497665
0.025,0.0,79,25.33184038371705
0.025,0.0,80,31.46213409840807
0.025,0.0,81,33.07111445402125
0.025,0.0,82,35.874355453605546
0.025,0.0,83,36.37915829800464
0.025,0.0,84,37.967048051462825
0.025,0.0,85,39.864352837507546
0.025,0.0,86,40.42337893230969
0.025,0.0,87,42.14378526413618
0.025,0.0,88,42.46299894727822
0.025,0.0,89,43.807905911385326
0.025,0.0,90,44.92612984629927
0.025,0.0,91,45.635643751741306
0.025,0.0,92,46.87829874989794
0.025,0.0,93,47.21328771772458
0.025,0.0,94,48.25031137929028
0.025,0.0,95,49.36265804780837
0.025,0.0,96,50.36242875366666
0.025,0.0,97,51.23854681506966
0.025,0.0,98,51.51362123185671
0.025,0.0,99,52.4578138957914
0.025,0.0,100,53.34824994841661
0.025,0.0,101,53.72730960530823
0.025,0.0,102,54.490805699182175
0.025,0.0,103,56.78509083949343
0.025,0.0,104,59.086295176286306
0.025,0.0,105,61.49811712809244
0.025,0.0,106,64.21132588791652
0.025,0.0,107,65.58024398375562
0.025,0.0,108,67.14082978554579
0.025,0.0,109,69.05177832949829
0.025,0.0,110,70.91511916579313
0.025,0.0,111,72.46844106390517
0.025,0.0,112,74.59245498624155
0.025,0.0,113,76.99937234497415
0.025,0.0,114,79.53257223395312
0.025,0.0,115,82.64440945488506
0.025,0.0,116,86.08206918848697
0.025,0.0,117,90.8866009259217
0.025,0.0,118,95.8538577668057
0.05,0.0,1,-93.58041256800192
0.05,0.0,2,-86.45008130008719
0.05,0.0,3,-81.5496307227296
0.05,0.0,4,-77.40084250205251
0.05,0.0,5,-74.86534694160429
0.05,0.0,6,-72.42962049984311
0.05,0.0,7,-69.00917590150226
0.05,0.0,8,-66.43553389064607
0.05,0.0,9,-64.79590810102513
0.05,0.0,10,-62.2757268056512
0.05,0.0,11,-59.99557412240685
0.05,0.0,12,-57.9511489799915
0.05,0.0,13,-55.25764057056341
0.05,0.0,14,-54.21097903059808
0.05,0.0,15,-51.960915561547836
0.05,0.0,16,-50.313273949926014
0.05,0.0,17,-48.549076468813354
0.05,0.0,18,-47.63880910930004
0.05,0.0,19,-45.48351272796185
0.05,0.0,20,-44.43715884803757
0.05,0.0,21,-43.25497361632142
0.05,0.0,22,-41.64566086805266
0.05,0.0,23,-40.700822697528906
0.05,0.0,24,-39.92368291919891
0.05,0.0,25,-38.68458093512936
0.05,0.0,26,-37.874634771587154
0.05,0.0,27,-37.40106184085573
0.05,0.0,28,-36.64518653698369
0.05,0.0,29,-36.29096835759316
0.05,0.0,30,-35.98496657458975
0.05,0.0,31,-34.196918183927735
0.05,0.0,32,-34.09984100482132
0.05,0.0,33,-31.625427809623645
0.05,0.0,34,-30.87169282436041
0.05,0.0,35,-28.86615754019067
0.05,0.0,36,-26.233816303279355
0.05,0.0,37,-25.561830682300283
0.05,0.0,38,-21.195571381641017
0.05,0.0,39,-21.06305866312698
0.05,0.0,40,-14.967428205642136
0.05,0.0,41,-7.799797265451076
0.05,0.0,42,-7.532287636148681
0.05,0.0,43,-5.926082545629271
0.05,0.0,44,-4.694906537094752
0.05,0.0,45,-4.430079054793836
0.05,0.0,46,-3.5100726570672975
0.05,0.0,47,-2.9497890790439243
0.05,0.0,48,-2.1410794127182555
0.05,0.0,49,-1.2940494555219573
0.05,0.0,50,-0.28480066985679287
0.05,0.0,51,0.7987779680408664
0.05,0.0,52,2.0466366606481756
0.05,0.0,53,3.341766046906784
0.05,0.0,54,4.74872929789656
0.05,0.0,55,6.277791680416058
0.05,0.0,56,7.9118438978933625
0.05,0.0,57,9.621744519924405
0.05,0.0,58,11.403377696839115
0.05,0.0,59,13.27370564583508
0.05,0.0,60,15.168721781250966
0.05,0.0,61,16.943576806975297
0.05,0.0,62,16.97586081272876
0.05,0.0,63,17.047321443141925
0.05,0.0,64,18.444055904389913
0.05,0.0,65,18.729179366826344
0.05,0.0,66,18.792333735288114
0.05,0.0,67,19.464736026080217
0.05,0.0,68,19.702664684226576
0.05,0.0,69,20.060657681079675
0.05,0.0,70,20.495479442675162
0.05,0.0,71,20.774913110336698
0.05,0.0,72,21.09550588682167
0.05,0.0,73,21.306217293586485
0.05,0.0,74,21.730622760033842
0.05,0.0,75,21.8043054263985
0.05,0.0,76,22.287640569779285
0.05,0.0,77,22.893232709464723
0.05,0.0,78,22.92613286983966
0.05,0.0,79,25.33176172266947
0.05,0.0,80,31.462622816942655
0.05,0.0,81,33.07165059676784
0.05,0.0,82,35.86946017038951
0.05,0.0,83,36.37874422492327
0.05,0.0,84,37.9759303582613
0.05,0.0,85,39.85332025743391
0.05,0.0,86,40.433376864725126
0.05,0.0,87,42.14095391776011
0.05,0.0,88,42.45634739726358
0.05,0.0,89,43.80135373783653
0.05,0.0,90,44.96168520118806
0.05,0.0,91,45.63108606225377
0.05,0.0,92,46.76946823357009
0.05,0.0,93,47.313285857508085
0.05,0.0,94,48.279768853888946
0.05,0.0,95,49.279144085831724
0.05,0.0,96,50.42191240853364
0.05,0.0,97,51.19477613084573
0.05,0.0,98,51.59446942652688
0.05,0.0,99,52.40438281973298
0.05,0.0,100,53.2520261498577
0.05,0.0,101,53.81493675804204
0.05,0.0,102,54.50744139625107
0.05,0.0,103,56.77974964178151
0.05,0.0,104,59.07753408113886
0.05,0.0,105,61.5376811816732
0.05,0.0,106,64.16380607151574
0.05,0.0,107,65.55541596199804
0.05,0.0,108,67.16066515156797
0.05,0.0,109,69.0749639031767
0.05,0.0,110,70.96440162026988
0.05,0.0,111,72.40488914805192
0.05,0.0,112,74.62053595947162
0.05,0.0,113,76.96218352869627
0.05,0.0,114,79.55525683216543
0.05,0.0,115,82.64363341108307
0.05,0.0,116,86.08088065275747
0.05,0.0,117,90.88643135070174
0.05,0.0,118,95.85361548389858
0.075,0.0,1,-93.57914195332972
0.075,0.0,2,-86.4621116392193
0.075,0.0,3,-81.51793665786846
0.075,0.0,4,-77.43088250932763
0.075,0.0,5,-74.87479164044632
0.075,0.0,6,-72.42298833905124
0.075,0.0,7,-68.93359036217552
0.075,0.0,8,-66.53767682027225
0.075,0.0,9,-64.80839715876797
0.075,0.0,10,-62.171368529173606
0.075,0.0,11,-60.053199307412996
0.075,0.0,12,-57.95400561879015
0.075,0.0,13,-55.28316746658311
0.075,0.0,14,-54.14506279213359
0.075,0.0,15,-52.029813686168865
0.075,0.0,16,-50.26680196783042
0.075,0.0,17,-48.54925917744964
0.075,0.0,18,-47.65959108431505
0.075,0.0,19,-45.43100481841773
0.075,0.0,20,-44.48662152465576
0.075,0.0,21,-43.274171562675804
0.075,0.0,22,-41.58353755934209
0.075,0.0,23,-40.740518748949256
0.075,0.0,24,-39.94903681511235
0.075,0.0,25,-38.639258128057065
0.075,0.0,26,-37.86575073446184
0.075,0.0,27,-37.39731910090319
0.075,0.0,28,-36.683718721794605
0.075,0.0,29,-36.30556614248775
0.075,0.0,30,-35.96120949088353
0.075,0.0,31,-34.19336585344306
0.075,0.0,32,-34.10833826135087
0.075,0.0,33,-31.616329907837752
0.075,0.0,34,-30.87243638544696
0.075,0.0,35,-28.87079764873043
0.075,0.0,36,-26.233263725873442
0.075,0.0,37,-25.560642685869254
0.075,0.0,38,-21.195574800347615
0.075,0.0,39,-21.06347319209361
0.075,0.0,40,-14.967355668456449
0.075,0.0,41,-7.799716397947009
0.075,0.0,42,-7.532343988748224
0.075,0.0,43,-5.926306206343625
0.075,0.0,44,-4.690596637365644
0.075,0.0,45,-4.438319364764823
0.075,0.0,46,-3.4881335345093305
0.075,0.0,47,-2.982229311745286
0.075,0.0,48,-2.115714901825811
0.075,0.0,49,-1.3102308379984322
0.075,0.0,50,-0.2745997110975651
0.075,0.0,51,0.7898150189378867
0.075,0.0,52,2.054439195652378
0.075,0.0,53,3.335546043538585
0.075,0.0,54,4.753007285984339
0.075,0.0,55,6.275359409774566
0.075,0.0,56,7.912864735818346
0.075,0.0,57,9.62147225929212
0.075,0.0,58,11.40340115526891
0.075,0.0,59,13.273734976567027
0.075,0.0,60,15.168699742644634
0.075,0.0,61,16.94401170167881
0.075,0.0,62,16.977146257023673
0.075,0.0,63,17.045293129639873
0.075,0.0,64,18.447143015169218
0.075,0.0,65,18.729346629578167
0.075,0.0,66,18.788316562447108
0.075,0.0,67,19.461791035659047
0.075,0.0,68,19.709660119992265
0.075,0.0,69,20.061457447930167
0.075,0.0,70,20.47530597277992
0.075,0.0,71,20.81641869178921
0.075,0.0,72,21.05312302413155
0.075,0.0,73,21.32303045956418
0.075,0.0,74,21.75583872865643
0.075,0.0,75,21.778788328946764
0.075,0.0,76,22.288261774843562
0.075,0.0,77,22.895074962698704
0.075,0.0,78,22.924421063497682
0.075,0.0,79,25.33184038371695
