k1,k2,magnetic_band,energy_meV
0.0,0.0,1,-93.58037991174993
0.0,0.0,2,-86.45004877512002
0.0,0.0,3,-81.54958260856722
0.0,0.0,4,-77.40078442415668
0.0,0.0,5,-74.86533341110689
0.0,0.0,6,-72.42954410277778
0.0,0.0,7,-69.00914845034393
0.0,0.0,8,-66.435524209383
0.0,0.0,9,-64.79586532039804
0.0,0.0,10,-62.27572608663732
0.0,0.0,11,-59.99555407960335
0.0,0.0,12,-57.95113376010022
0.0,0.0,13,-55.25763564491086
0.0,0.0,14,-54.210953573039774
0.0,0.0,15,-51.960925057841365
0.0,0.0,16,-50.31325611410392
0.0,0.0,17,-48.5490724238758
0.0,0.0,18,-47.6388092451308
0.0,0.0,19,-45.48350904737214
0.0,0.0,20,-44.43715220705718
0.0,0.0,21,-43.2549678105174
0.0,0.0,22,-41.64565925347003
0.0,0.0,23,-40.700816359436914
0.0,0.0,24,-39.9236794530791
0.0,0.0,25,-38.68457579575494
0.0,0.0,26,-37.87463110413367
0.0,0.0,27,-37.4010595677872
0.0,0.0,28,-36.645185095178874
0.0,0.0,29,-36.29096523844774
0.0,0.0,30,-35.98496287301961
0.0,0.0,31,-34.19691555220596
0.0,0.0,32,-34.09983901878621
0.0,0.0,33,-31.625426469191694
0.0,0.0,34,-30.871692135438536
0.0,0.0,35,-28.866155659833808
0.0,0.0,36,-26.23381390565021
0.0,0.0,37,-25.561829251699464
0.0,0.0,38,-21.19557175413736
0.0,0.0,39,-21.063057072603968
0.0,0.0,40,-14.967427939013717
0.0,0.0,41,-7.799794596754921
0.0,0.0,42,-7.532285469519962
0.0,0.0,43,-5.926076832546158
0.0,0.0,44,-4.694906019266341
0.0,0.0,45,-4.430073410643118
0.0,0.0,46,-3.510074615302969
0.0,0.0,47,-2.949782920270607
0.0,0.0,48,-2.1410794148389414
0.0,0.0,49,-1.2940468917537657
0.0,0.0,50,-0.2847993088026328
0.0,0.0,51,0.7987785501288158
0.0,0.0,52,2.046636903826254
0.0,0.0,53,3.341765537567454
0.0,0.0,54,4.74872834659115
0.0,0.0,55,6.277790596513057
0.0,0.0,56,7.91184307976107
0.0,0.0,57,9.621744168155331
0.0,0.0,58,11.403377676166457
0.0,0.0,59,13.273705377204848
0.0,0.0,60,15.168721479397178
0.0,0.0,61,16.94357469268019
0.0,0.0,62,16.975857059108332
0.0,0.0,63,17.04731716042232
0.0,0.0,64,18.444055154940088
0.0,0.0,65,18.729179286863378
0.0,0.0,66,18.792331365918123
0.0,0.0,67,19.464733840352096
0.0,0.0,68,19.702661773148535
0.0,0.0,69,20.060653622544578
0.0,0.0,70,20.495476321813896
0.0,0.0,71,20.77490841441667
0.0,0.0,72,21.095502468445588
0.0,0.0,73,21.30621504206144
0.0,0.0,74,21.730619379450868
0.0,0.0,75,21.804301220605552
0.0,0.0,76,22.287639984209093
0.0,0.0,77,22.893234070549912
0.0,0.0,78,22.926132776122625
0.0,0.0,79,25.331757190942284
0.0,0.0,80,31.462620315058643
0.0,0.0,81,33.0716470147661
0.0,0.0,82,35.86945822542474
0.0,0.0,83,36.37873886890643
0.0,0.0,84,37.97592677744004
0.0,0.0,85,39.85331933671581
0.0,0.0,86,40.433376221372676
0.0,0.0,87,42.14095813356474
0.0,0.0,88,42.45634176494463
0.0,0.0,89,43.80135250934418
0.0,0.0,90,44.961677847959514
0.0,0.0,91,45.63106588139811
0.0,0.0,92,46.76945972771175
0.0,0.0,93,47.31326729661801
0.0,0.0,94,48.27973587112087
0.0,0.0,95,49.27913395541129
0.0,0.0,96,50.42189362353333
0.0,0.0,97,51.194745699853016
0.0,0.0,98,51.594445287068666
0.0,0.0,99,52.40437524165621
0.0,0.0,100,53.25201576040062
0.0,0.0,101,53.81493185150896
0.0,0.0,102,54.50743163585849
0.0,0.0,103,56.77973570387811
0.0,0.0,104,59.07751972645992
0.0,0.0,105,61.53766610017793
0.0,0.0,106,64.16378332947937
0.0,0.0,107,65.55536099319608
0.0,0.0,108,67.16062567276839
0.0,0.0,109,69.07494966099247
0.0,0.0,110,70.9643225154918
0.0,0.0,111,72.40485786593074
0.0,0.0,112,74.62048260696018
0.0,0.0,113,76.96213451924717
0.0,0.0,114,79.55521553771968
0.0,0.0,115,82.6435961417548
0.0,0.0,116,86.08085335709882
0.0,0.0,117,90.8864001928477
0.0,0.0,118,95.85359630669303
0.025,0.0,1,-93.5791096433928
0.025,0.0,2,-86.4620767503543
0.025,0.0,3,-81.51789328795996
0.025,0.0,4,-77.43082611175802
0.025,0.0,5,-74.87475467583195
0.025,0.0,6,-72.42294573559309
0.025,0.0,7,-68.93353991046351
0.025,0.0,8,-66.5376595693489
0.025,0.0,9,-64.80838782946631
0.025,0.0,10,-62.17134143179749
0.025,0.0,11,-60.05318121884994
0.025,0.0,12,-57.954003765490086
0.025,0.0,13,-55.283148240117924
0.025,0.0,14,-54.14504883666939
0.025,0.0,15,-52.02981307008028
0.025,0.0,16,-50.26679235816712
0.025,0.0,17,-48.549255183679435
0.025,0.0,18,-47.65958851454579
0.025,0.0,19,-45.431000552476235
0.025,0.0,20,-44.48661790683411
0.025,0.0,21,-43.274163835671686
0.025,0.0,22,-41.583535188666815
